Date and Time,LW,SM,T,RH,DP,Class
20-03-2021 05:30,Dry,11.2,19.8,77.4,15.7,Healthy
20-03-2021 06:00,Dry,10.9,19.6,78.3,15.7,Healthy
20-03-2021 06:30,Dry,10.9,19.5,79.3,15.8,Healthy
20-03-2021 07:00,Dry,10.9,19.5,80,16,Healthy
20-03-2021 07:30,Dry,10.9,20.1,79.3,16.4,Healthy
20-03-2021 08:00,Dry,10.6,21.7,74.1,16.9,Healthy
20-03-2021 08:30,Dry,10.9,24.3,64.5,17.2,Healthy
20-03-2021 09:00,Dry,10.9,26.9,54.2,16.9,Healthy
20-03-2021 09:30,Dry,10.6,29.1,46.5,16.5,Healthy
20-03-2021 10:00,Dry,10.6,31.3,43.7,17.5,Healthy
20-03-2021 10:30,Dry,10.2,33.3,41.8,18.6,Healthy
20-03-2021 11:00,Dry,9.9,34.7,38.7,18.6,Healthy
20-03-2021 11:30,Dry,9.9,35.4,36.4,18.2,Healthy
20-03-2021 12:00,Dry,9.6,35.5,37.2,18.7,Healthy
20-03-2021 12:30,Dry,9.2,35.6,37.3,18.8,Healthy
20-03-2021 13:00,Dry,9.2,36,38.1,19.5,Healthy
20-03-2021 13:30,Dry,8.9,36,37.9,19.4,Healthy
20-03-2021 14:00,Dry,8.6,35.8,37.8,19.2,Healthy
20-03-2021 14:30,Dry,7.9,35.5,35.7,18,Healthy
20-03-2021 15:00,Dry,7.6,34.6,38.4,18.4,Healthy
20-03-2021 15:30,Dry,7.4,34.1,35.3,16.6,Healthy
20-03-2021 16:00,Dry,7.3,34,35.7,16.7,Healthy
20-03-2021 16:30,Dry,7.2,33.5,34.7,15.8,Healthy
20-03-2021 17:00,Dry,7.2,32.5,36.8,15.8,Healthy
20-03-2021 17:30,Dry,7.2,31.4,36.7,14.8,Healthy
20-03-2021 18:00,Dry,7.2,30,38.5,14.3,Healthy
20-03-2021 18:30,Dry,6.8,28.7,41.9,14.5,Healthy
20-03-2021 19:00,Dry,6.8,27.5,45.3,14.6,Healthy
20-03-2021 19:30,Dry,6.7,26.8,48.6,15.1,Healthy
20-03-2021 20:00,Dry,6.7,26,51.8,15.3,Healthy
20-03-2021 20:30,Dry,6.7,25,55,15.3,Healthy
20-03-2021 21:00,Dry,6.6,24.4,58.1,15.6,Healthy
20-03-2021 21:30,Dry,6.5,23.8,60.6,15.7,Healthy
20-03-2021 22:00,Dry,6.5,23.4,62.3,15.8,Healthy
20-03-2021 22:30,Dry,6.3,22.9,64.6,15.9,Healthy
20-03-2021 23:00,Dry,6.2,22.5,67.2,16.1,Healthy
20-03-2021 23:30,Dry,6.3,22.1,69,16.1,Healthy
20-03-2021 00:00,Moist,21.4,22.2,68,16,Diseased
20-03-2021 00:30,Moist,20.9,21.7,70.2,16,Diseased
20-03-2021 01:00,Moist,20.9,21.4,71.9,16.1,Diseased
20-03-2021 01:30,Moist,20.9,21.3,72.2,16.1,Diseased
20-03-2021 02:00,Moist,20.5,21.2,72.4,16,Diseased
20-03-2021 02:30,Moist,20.9,21,72.8,15.9,Diseased
20-03-2021 03:00,Moist,20.5,20.7,74.1,15.9,Diseased
20-03-2021 03:30,Moist,20.9,20.5,75.7,16.1,Diseased
20-03-2021 04:00,Moist,20.1,20.2,77.3,16.1,Diseased
20-03-2021 04:30,Moist,20.5,20.1,77.7,16.1,Diseased
20-03-2021 05:00,Moist,20.5,20,77.8,16,Diseased
20-03-2021 05:30,Moist,20.1,19.9,78,15.9,Diseased
20-03-2021 06:00,Moist,20.5,19.7,79.2,16,Diseased
20-03-2021 06:30,Moist,19.6,19.5,80,16,Diseased
20-03-2021 07:00,Moist,19.6,19.5,80.7,16.1,Diseased
20-03-2021 07:30,Moist,20.5,20.2,79.7,16.6,Diseased
20-03-2021 08:00,Moist,19.6,22,73.6,17.1,Diseased
20-03-2021 08:30,Moist,19.6,24.8,63.1,17.3,Diseased
20-03-2021 09:00,Moist,19.6,27.4,52.3,16.8,Diseased
20-03-2021 09:30,Dry,19.6,29.8,45.3,16.7,Diseased
20-03-2021 10:00,Dry,19.6,32,40.4,16.9,Diseased
20-03-2021 10:30,Dry,19.2,34.1,38.3,17.9,Diseased
20-03-2021 11:00,Dry,18.3,35.6,36.4,18.4,Diseased
20-03-2021 11:30,Dry,18.7,36.4,34.1,18.1,Diseased
20-03-2021 12:00,Dry,17.9,36.4,35.4,18.7,Diseased
20-03-2021 12:30,Dry,17,36.3,35.7,18.7,Diseased
20-03-2021 13:00,Dry,16.6,36.4,35.7,18.8,Diseased
20-03-2021 13:30,Dry,16.2,36.4,34.8,18.4,Diseased
20-03-2021 14:00,Dry,15.6,36.2,35.9,18.7,Diseased
20-03-2021 14:30,Dry,15.2,35.8,33.7,17.4,Diseased
20-03-2021 15:00,Dry,14.6,35.2,34.9,17.4,Diseased
20-03-2021 15:30,Dry,14.2,34.7,33.3,16.2,Diseased
20-03-2021 16:00,Dry,13.9,34.4,34.7,16.6,Diseased
20-03-2021 16:30,Dry,13.2,34,33.9,15.9,Diseased
20-03-2021 17:00,Dry,13.2,32.9,36.1,15.9,Diseased
20-03-2021 17:30,Dry,12.9,31.7,36.4,15,Diseased
20-03-2021 18:00,Dry,12.9,30.2,38.7,14.6,Diseased
20-03-2021 18:30,Dry,12.9,28.7,42.5,14.7,Diseased
20-03-2021 19:00,Dry,12.9,27.6,45.9,14.9,Diseased
20-03-2021 19:30,Dry,12.2,26.9,49.1,15.3,Diseased
20-03-2021 20:00,Dry,12.2,26.1,52.6,15.7,Diseased
20-03-2021 20:30,Dry,11.9,25.1,56.1,15.7,Diseased
20-03-2021 21:00,Moist,11.9,24.4,59.4,16,Diseased
20-03-2021 21:30,Moist,11.6,23.8,61.7,16,Diseased
20-03-2021 22:00,Moist,11.9,23.4,63.5,16.1,Diseased
20-03-2021 22:30,Moist,11.6,23,65.6,16.2,Diseased
20-03-2021 23:00,Moist,11.6,22.5,68.3,16.4,Diseased
20-03-2021 23:30,Moist,11.6,22.1,69.9,16.3,Diseased
21-03-2021 00:00,Dry,6.1,21.7,70.1,16,Healthy
21-03-2021 00:30,Dry,6.2,21.5,70.7,16,Healthy
21-03-2021 01:00,Dry,6,21.3,72.3,16.1,Healthy
21-03-2021 01:30,Dry,6.1,21.1,73.7,16.2,Healthy
21-03-2021 02:00,Dry,6.1,20.8,75.2,16.2,Healthy
21-03-2021 02:30,Dry,6.1,20.6,76.3,16.3,Healthy
21-03-2021 03:00,Dry,6,20.4,77.7,16.4,Healthy
21-03-2021 03:30,Dry,6,20.2,78.5,16.3,Healthy
21-03-2021 04:00,Dry,6,20.1,79.4,16.4,Healthy
21-03-2021 04:30,Dry,6,20,80.3,16.5,Healthy
21-03-2021 05:00,Dry,6,19.8,81.2,16.5,Healthy
21-03-2021 05:30,Dry,5.8,19.6,81.9,16.4,Healthy
21-03-2021 06:00,Dry,5.8,19.5,82.3,16.4,Healthy
21-03-2021 06:30,Dry,5.8,19.5,82.5,16.4,Healthy
21-03-2021 07:00,Dry,5.8,19.5,82.8,16.5,Healthy
21-03-2021 07:30,Dry,5.8,20.3,81.8,17.1,Healthy
21-03-2021 08:00,Dry,5.8,22.3,76.6,18,Healthy
21-03-2021 08:30,Dry,6.1,25,67.3,18.5,Healthy
21-03-2021 09:00,Dry,5.7,27.9,54.6,17.9,Healthy
21-03-2021 09:30,Dry,6.1,30.7,45.4,17.5,Healthy
21-03-2021 10:00,Dry,6.1,33.2,39.2,17.5,Healthy
21-03-2021 10:30,Dry,6.2,35,32.6,16.1,Healthy
21-03-2021 11:00,Dry,6.2,36.4,29.3,15.7,Healthy
21-03-2021 11:30,Dry,6.2,37.1,28.8,16,Healthy
21-03-2021 12:00,Dry,6.2,37.3,30.7,17.2,Healthy
21-03-2021 12:30,Dry,6.5,37.5,31.9,18,Healthy
21-03-2021 13:00,Dry,6.2,37.7,32.7,18.5,Healthy
21-03-2021 13:30,Dry,6.1,37.8,32.1,18.3,Healthy
21-03-2021 14:00,Dry,6.1,37.8,31.7,18.1,Healthy
21-03-2021 14:30,Dry,6,37.5,29.7,16.8,Healthy
21-03-2021 15:00,Dry,6,36.6,31.2,16.8,Healthy
21-03-2021 15:30,Dry,6,36.1,28.1,14.8,Healthy
21-03-2021 16:00,Dry,5.8,35.6,28.2,14.4,Healthy
21-03-2021 16:30,Dry,5.8,35.1,27.6,13.6,Healthy
21-03-2021 17:00,Dry,5.7,34,31.4,14.7,Healthy
21-03-2021 17:30,Dry,5.6,32.5,33.4,14.3,Healthy
21-03-2021 18:00,Dry,5.7,31.2,35.8,14.3,Healthy
21-03-2021 18:30,Dry,5.6,29.8,39,14.4,Healthy
21-03-2021 19:00,Dry,5.6,28.7,44.2,15.3,Healthy
21-03-2021 19:30,Dry,5.2,27.8,45.2,14.8,Healthy
21-03-2021 20:00,Dry,5.5,27.1,47.4,14.9,Healthy
21-03-2021 20:30,Dry,5.4,26.7,49,15.1,Healthy
21-03-2021 21:00,Dry,5.4,26.3,49.4,14.9,Healthy
21-03-2021 21:30,Dry,5.2,26,50.5,14.9,Healthy
21-03-2021 22:00,Dry,5.2,25.8,50.5,14.7,Healthy
21-03-2021 22:30,Dry,5.2,25.6,51.5,14.9,Healthy
21-03-2021 23:00,Dry,5.1,25.5,51.8,14.9,Healthy
21-03-2021 23:30,Dry,5.1,25.3,53,15,Healthy
21-03-2021 00:00,Moist,11.2,21.9,71.1,16.4,
21-03-2021 00:30,Moist,11.2,21.6,71.8,16.3,
21-03-2021 01:00,Moist,11.2,21.3,73.2,16.3,
21-03-2021 01:30,Moist,10.9,21.1,74.7,16.4,
21-03-2021 02:00,Moist,10.9,20.8,76.1,16.4,
21-03-2021 02:30,Moist,10.9,20.7,77.3,16.6,
21-03-2021 03:00,Moist,10.9,20.5,78.7,16.7,
21-03-2021 03:30,Moist,10.9,20.3,79.4,16.6,
21-03-2021 04:00,Moist,10.9,20.1,80.3,16.6,
21-03-2021 04:30,Moist,10.9,20.1,81.2,16.8,Diseased
21-03-2021 05:00,Wet,10.9,19.8,82,16.6,Diseased
21-03-2021 05:30,Wet,10.6,19.7,82.7,16.7,Diseased
21-03-2021 06:00,Wet,10.6,19.6,83,16.6,Diseased
21-03-2021 06:30,Wet,10.6,19.5,83.3,16.6,Diseased
21-03-2021 07:00,Moist,10.6,19.6,83.4,16.7,Diseased
21-03-2021 07:30,Moist,10.6,20.5,82,17.3,Diseased
21-03-2021 08:00,Moist,10.9,22.6,75.8,18.1,Diseased
21-03-2021 08:30,Moist,10.9,25.6,65.1,18.6,Diseased
21-03-2021 09:00,Moist,11.2,28.5,52.8,17.9,Diseased
21-03-2021 09:30,Dry,11.2,31.4,43.8,17.6,Diseased
21-03-2021 10:00,Dry,10.9,33.9,37.6,17.4,Diseased
21-03-2021 10:30,Dry,11.6,36,30,15.7,Diseased
21-03-2021 11:00,Dry,11.9,37.5,27.6,15.7,Diseased
21-03-2021 11:30,Dry,11.6,38.4,27.7,16.5,Diseased
21-03-2021 12:00,Dry,10.9,38.3,28.2,16.7,Diseased
21-03-2021 12:30,Dry,11.6,38.1,30,17.5,Diseased
21-03-2021 13:00,Dry,11.2,38.3,30,17.7,Diseased
21-03-2021 13:30,Dry,11.2,38.3,30.5,17.9,Diseased
21-03-2021 14:00,Dry,10.6,38,29.8,17.3,Diseased
21-03-2021 14:30,Dry,10.9,37.8,28.8,16.6,Diseased
21-03-2021 15:00,Dry,10.6,36.9,29.5,16.2,Diseased
21-03-2021 15:30,Dry,10.6,36.5,27,14.5,Diseased
21-03-2021 16:00,Dry,10.9,36.1,26.8,14,Diseased
21-03-2021 16:30,Dry,10.6,35.4,27.3,13.7,Diseased
21-03-2021 17:00,Dry,10.2,34.1,31.6,14.9,Diseased
21-03-2021 17:30,Dry,10.2,32.8,33.9,14.8,Diseased
21-03-2021 18:00,Dry,9.9,31.3,36.2,14.5,Diseased
21-03-2021 18:30,Dry,9.9,29.9,39.8,14.8,Diseased
21-03-2021 19:00,Dry,9.6,28.7,45.2,15.7,Diseased
21-03-2021 19:30,Dry,9.6,27.8,46.1,15.2,Diseased
21-03-2021 20:00,Dry,9.2,27.2,48.1,15.3,Diseased
21-03-2021 20:30,Dry,8.9,26.8,49.9,15.5,Diseased
21-03-2021 21:00,Dry,8.9,26.4,50.3,15.2,Diseased
21-03-2021 21:30,Dry,8.9,26.2,51.4,15.4,Diseased
21-03-2021 22:00,Dry,8.9,26,51.5,15.2,Diseased
21-03-2021 22:30,Dry,8.6,25.8,52.1,15.2,Diseased
21-03-2021 23:00,Dry,8.9,25.6,52.6,15.2,Diseased
21-03-2021 23:30,Dry,8.6,25.4,53.6,15.3,Diseased
22-03-2021 00:00,Dry,5.1,25,53.6,14.9,Healthy
22-03-2021 00:30,Dry,5.1,24.8,54.6,15,Healthy
22-03-2021 01:00,Dry,5,24.6,54.4,14.8,Healthy
22-03-2021 01:30,Dry,5,24.5,54.4,14.7,Healthy
22-03-2021 02:00,Dry,5,24.4,55.1,14.8,Healthy
22-03-2021 02:30,Dry,5,24.1,55.7,14.7,Healthy
22-03-2021 03:00,Dry,4.9,24.2,55.6,14.8,Healthy
22-03-2021 03:30,Dry,4.9,23.8,56.9,14.7,Healthy
22-03-2021 04:00,Dry,5,23.4,58.5,14.8,Healthy
22-03-2021 04:30,Dry,4.8,23.2,58.4,14.6,Healthy
22-03-2021 05:00,Dry,4.8,22.9,58.9,14.4,Healthy
22-03-2021 05:30,Dry,4.8,22.6,60.9,14.7,Healthy
22-03-2021 06:00,Dry,4.8,22.4,62.1,14.8,Healthy
22-03-2021 06:30,Dry,4.5,22.2,62.6,14.7,Healthy
22-03-2021 07:00,Dry,4.6,22.4,61.5,14.6,Healthy
22-03-2021 07:30,Dry,4.6,23.2,56.9,14.2,Healthy
22-03-2021 08:00,Dry,4.8,23.8,56.2,14.5,Healthy
22-03-2021 08:30,Dry,4.8,24.1,55.9,14.7,Healthy
22-03-2021 09:00,Dry,4.8,24.5,56.2,15.2,Healthy
22-03-2021 09:30,Dry,4.8,25.2,53.8,15.2,Healthy
22-03-2021 10:00,Dry,4.8,26.7,50.8,15.7,Healthy
22-03-2021 10:30,Dry,47.3,28.9,46.3,16.2,Healthy
22-03-2021 11:00,Dry,42,33.2,36.3,16.2,Healthy
22-03-2021 11:30,Dry,42,35.4,34.7,17.5,Healthy
22-03-2021 12:00,Dry,39.6,36.2,34.4,18,Healthy
22-03-2021 12:30,Dry,39.6,36.4,33.6,17.8,Healthy
22-03-2021 13:00,Dry,38.4,36.4,33.6,17.8,Healthy
22-03-2021 13:30,Dry,37.8,34.3,33.8,16.1,Healthy
22-03-2021 14:00,Dry,36.6,34,34.6,16.2,Healthy
22-03-2021 14:30,Dry,37.8,32.1,36.9,15.5,Healthy
22-03-2021 15:00,Dry,37.8,31.4,38.1,15.4,Healthy
22-03-2021 15:30,Dry,37.2,31.2,39,15.6,Healthy
22-03-2021 16:00,Dry,36.6,32.1,36.3,15.3,Healthy
22-03-2021 16:30,Dry,36.6,32.3,38.2,16.3,Healthy
22-03-2021 17:00,Dry,36.1,31.4,39,15.8,Healthy
22-03-2021 17:30,Dry,36.1,30.1,39.3,14.7,Healthy
22-03-2021 18:00,Dry,35.5,29.4,42,15.1,Healthy
22-03-2021 18:30,Dry,34.3,28.4,42.2,14.3,Healthy
22-03-2021 19:00,Dry,33.7,27.5,46.6,15,Healthy
22-03-2021 19:30,Dry,34.3,26.5,51.6,15.7,Healthy
22-03-2021 20:00,Dry,34.3,25.8,52.3,15.3,Healthy
22-03-2021 20:30,Dry,33.7,25.5,53.4,15.3,Healthy
22-03-2021 21:00,Dry,33.7,25.1,55.7,15.6,Healthy
22-03-2021 21:30,Dry,33.1,25.1,55.1,15.5,Healthy
22-03-2021 22:00,Dry,33.1,25,56.1,15.6,Healthy
22-03-2021 22:30,Dry,33.1,24.6,58.9,16,Healthy
22-03-2021 23:00,Dry,32.5,24.3,61.2,16.3,Healthy
22-03-2021 23:30,Dry,32.5,24.4,61.2,16.4,Healthy
23-03-2021 00:00,Dry,32.5,24.5,60.9,16.5,Healthy
23-03-2021 00:30,Dry,31.9,24.4,60.7,16.3,Healthy
23-03-2021 01:00,Dry,31.9,24.5,61.7,16.7,Healthy
23-03-2021 01:30,Dry,32.5,24.4,63.6,17,Healthy
23-03-2021 02:00,Dry,31.3,23.9,66.2,17.2,Healthy
23-03-2021 02:30,Dry,31.3,23.7,63.8,16.4,Healthy
23-03-2021 03:00,Dry,31.9,23.8,63.3,16.4,Healthy
23-03-2021 03:30,Dry,31.9,23.9,62.6,16.3,Healthy
23-03-2021 04:00,Dry,30.7,23.8,62.8,16.3,Healthy
23-03-2021 04:30,Dry,30.7,23.7,63.7,16.4,Healthy
23-03-2021 05:00,Dry,30.7,23.4,62.5,15.8,Healthy
23-03-2021 05:30,Dry,30.2,23.2,59.9,15,Healthy
23-03-2021 06:00,Dry,29.7,22.8,57.9,14.1,Healthy
23-03-2021 06:30,Dry,29.7,22.6,58.6,14.1,Healthy
23-03-2021 07:00,Dry,29.7,22.6,58.5,14,Healthy
23-03-2021 07:30,Dry,29.3,22.9,59.2,14.5,Healthy
23-03-2021 08:00,Dry,29.3,23.2,58,14.5,Healthy
23-03-2021 08:30,Dry,29.3,23.9,58.2,15.2,Healthy
23-03-2021 09:00,Dry,29.7,25.3,52.8,15,Healthy
23-03-2021 09:30,Dry,29.3,26.9,50.3,15.7,Healthy
